Year,Player,Age,Hometown,Home State,Tm,FantPos,FantPt,Height (inches),Weight,College,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2006,LaDainian Tomlinson,27,Rosebud,TX,SDG,RB,427,70,221,TCU,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
2013,Peyton Manning,37,New Orleans,LA,DEN,QB,410,77,230,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2007,Tom Brady,30,San Mateo,CA,NWE,QB,398,76,225,Michigan,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2011,Aaron Rodgers,28,Chico,CA,GNB,QB,397,74,223,California,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2011,Drew Brees,32,Austin,TX,NOR,QB,396,73,209,Purdue,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2004,Daunte Culpepper,27,Ocala,FL,MIN,QB,381,76,264,Central Florida,1/28/1977,1,1999,18,4.52,0,39,122,4.13,7.21
2000,Marshall Faulk,27,New Orleans,LA,STL,RB,381,70,211,San Diego St.,2/26/1973,1,1994,0,0,0,0,0,0,0
2011,Cam Newton,22,College Park,GA,CAR,QB,373,78,260,Auburn,5/11/1989,1,2011,21,4.56,0,35,126,4.18,6.92
2003,Priest Holmes,30,Fort Smith,AR,KAN,RB,373,69,213,Texas,10/7/1973,0,0,0,0,0,0,0,0,0
2002,Priest Holmes,29,Fort Smith,AR,KAN,RB,373,69,213,Texas,10/7/1973,0,0,0,0,0,0,0,0,0
2011,Tom Brady,34,San Mateo,CA,NWE,QB,370,76,225,Michigan,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2005,Shaun Alexander,28,Florence,KY,SEA,RB,364,71,225,Alabama,8/30/1977,1,2000,0,0,0,0,0,0,0
2004,Peyton Manning,28,New Orleans,LA,IND,QB,362,77,230,Tennessee,3/24/1976,1,1998,0,0,0,0,0,0,0
2013,Drew Brees,34,Austin,TX,NOR,QB,358,73,209,Purdue,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2009,Aaron Rodgers,26,Chico,CA,GNB,QB,351,74,0,California,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Daunte Culpepper,23,Ocala,FL,MIN,QB,350,76,264,Central Florida,1/28/1977,1,1999,18,4.52,39,39,122,4.13,7.21
2009,Chris Johnson,24,Orlando,FL,TEN,RB,349,71,195,East Carolina,9/23/1985,1,2008,10,4.24,0,35,0,0,0
2012,Drew Brees,33,Austin,TX,NOR,QB,346,73,0,Purdue,1/3/1985,2,2001,28,4.83,0,32,105,4.21,7.09
2011,Matthew Stafford,23,Tampa,FL,DET,QB,345,74,230,Georgia,2/7/1988,1,2009,38,4.81,0,30.5,107,4.47,7.06
2003,Ahman Green,26,Omaha,NE,GNB,RB,345,73,217,Nebraska,2/16/1977,3,1998,0,0,0,0,0,0,0
2012,Aaron Rodgers,29,Chico,CA,GNB,QB,344,74,0,California,1/0/1900,1,2005,39,4.71,0,34.5,110,0,7.39
2003,LaDainian Tomlinson,24,Rosebud,TX,SDG,RB,344,70,221,TCU,6/23/1979,1,2001,0,4.46,40.5,40.5,0,4.21,6.84
2001,Marshall Faulk,28,New Orleans,LA,STL,RB,343,70,211,San Diego St.,2/26/1973,1,1994,0,0,0,0,0,0,0
2000,Jeff Garcia,30,Gilroy,CA,SFO,QB,343,73,195,San Jose St.,2/24/1970,0,0,0,0,0,0,0,0,0
